Datum;Mat1;Mat2;Mat3;Mat4;Mat5;Mat6;Mat7
2020-05-01;2506600,00;394500,00;7669,00;1885,00;31020,00;0,00;22400,00
2020-06-01;1834390,00;428500,00;9955,00;1545,00;19309,00;0,00;0,00
2020-07-01;837720,00;476500,00;11059,00;2242,00;22807,00;0,00;0,00
2020-08-01;912000,00;283000,00;9928,00;1982,00;20025,00;40000,00;22400,00
2020-09-01;2356650,00;366500,00;14096,00;2359,00;24322,00;0,00;0,00
2020-10-01;1348240,00;518500,00;15903,00;1989,00;24391,00;0,00;22400,00
2020-11-01;984930,00;267515,00;15066,00;1828,00;23652,00;0,00;0,00
2020-12-01;870520,00;248500,00;10076,00;1500,00;19298,00;40000,00;0,00
2021-01-01;1838365,00;221000,00;11670,00;2209,00;20469,00;0,00;0,00
2021-02-01;1442710,00;481000,00;13821,00;2452,00;22757,00;0,00;0,00
2021-03-01;2308605,00;424000,00;14384,00;1944,00;83550,00;0,00;22400,00
2021-04-01;865870,00;470510,00;13012,00;2141,00;20984,00;0,00;0,00
2021-05-01;1346220,00;397000,00;11891,00;1905,00;19692,00;0,00;0,00
2021-06-01;1346100,00;395500,00;13487,00;1858,00;21482,00;40000,00;0,00
2021-07-01;1922940,00;442515,00;11749,00;2031,00;20042,00;0,00;22400,00
2021-08-01;867727,00;180000,00;12258,00;1805,00;17264,00;0,00;0,00
2021-09-01;875030,00;172000,00;16045,00;1791,00;22226,00;40000,00;0,00
2021-10-01;552182,00;202015,00;11826,00;1276,00;21101,00;0,00;0,00
2021-11-01;2005995,00;243500,00;13115,00;2253,00;20151,00;0,00;22400,00
2021-12-01;1296225,00;248500,00;9545,00;1871,00;16754,00;0,00;0,00
